name,free_returns,items_sold,item_price,item_shipping,item_status
MAGNETIC READING GLASSES HAVANA +2.00 NECK HANGING EYEGLASSES,True,,995,0,Brand New
Men Ultra Light Titanium Material Screwless Foldable Anti-Blue Reading Glasses,True,,818827,0,Brand New
6 Pack Reading Glasses Lightweight Flexible Readers for Men and Women,True,,1595,0,Brand New
Reading Glasses Readers Women Clear Lens Translucent Colorful Spring Hinge,True,,895,0,Brand New
"4 Pair Reading Glasses Blue Light Blocking, Filter UV Ray/Glare Computer Readers",True,105,1995,0,Brand New
One Power Auto Focus Presbyopi Reading Glasses Readers Adjustable 0.5-2.5 Unisex,False,,740,0,Brand New
Mens Fashion Rectangular Reading Glasses Retro Readers Metal Plate Modern Style,True,,8991699,0,Brand New
2 Pairs Lightweight Transparent Frame Clear Rectangular Readers Reading Glasses,False,96,1095,0,Brand New
1 Pack Mens Rectangle Half Frame Reading Glasses Black Spring Hinge Readers ,True,,699,0,Brand New
"SALE!! ENDS SOON! 100% Authentic ThinOPTICS, With POD, Brand New, Free Shipping",False,,1198,0,Brand New
Reading glasses men women 4 pair lot lens strength pack power new,True,,895,0,Brand New
Eyekepper Reading Glasses Round Readers Vintage Eyeglasses Men Women Six Color,False,0,11991299,0,Brand New
Womens Reading Glasses Magnified Readers Cateye Frame Spring Hinge,True,,10951395,0,Brand New
Progressive Multifocal Reading Glasses Blue Light Blocking Computer Glasses,False,0,886923,0,Brand New
3 Pairs Slim Metal Rectangular Reading Glasses Spring Hinge High Power Reader,False,118,1495,0,Brand New
Reading glasses men women rimless spring hinge 4 pair lens power lot pack new z,True,,1095,0,Brand New
Jones New York Mens 3-pc. Solid Reading Glasses,False,0,1200,0,Brand New
Classic Unisex Blue Light Blocking Computer Reading Glasses spring hinge readers,True,221,849,0,Brand New
READING GLASSES SPRING HINGE MENS WOMENS METAL FRAME VALUE 12 PACK READERS BULK ,False,,2395,0,Brand New
Reading Glasses Mens Womens 6 Pack Metal Frame Spring Hinge Square Frame Readers,False,,1595,0,Brand New
Shop on eBay,False,,2000,,Brand New
4 Pair Pack Reading Glasses Readers Men Women Square Classic Frame,True,,995,0,Brand New
MENS WOMENS READING GLASSES UNISEX SPRING HINGE 6 PACK READERS BULK NEW READER,True,,1395,0,Brand New
READING GLASSES 4 Pair Metal Frame UNISEX CLASSIC STYLE LENS READERS ALL POWERS,True,,895,0,Brand New
