name,free_returns,items_sold,item_price,item_shipping,item_status
Shop on eBay,False,,2000,,Brand New
Leather Kilim Bag Brown Large,False,,17000,0,Brand New
"WHITEDUCK Hoplite - Parachute Cargo Bag, Tactical, Travel, Outdoors, Duffle Bag",True,,2849,0,Brand New
Unisex Leather Very large vintage duffle travel gym weekend overnight bag Men's,True,,5418,0,New (Other)
3 In 1 Large Capacity Travel Storage Suitcase Multifunctional Waterproof Gray,False,0,14999,0,Brand New
"Cutter & Buck Leather Large 19"" Weekender Duffle Travel Luggage Bag w/Strap EC!",False,,10800,0,Pre-Owned
Baggallini large tote bag / carry on - rust/orange - EUC ,False,,2499,1446,Pre-Owned
"Victorinox Swiss Army VX Drift Large 29"" Suitcase Luggage , Black $740",True,0,24999,1500,New (Other)
Duffle Bag Sports Large Tote Handbag Travel Flight Gym Fitness Luggage Black,True,,2398,0,Brand New
PATAGONIA ROLLING LARGE WHEELING DUFFEL LUGGAGE SUITCASE:  BURGUNDY,False,,17600,,Pre-Owned
Vintage 1962 Red Pink Samsonite Silhouette Large Luggage Suitcase WITH KEY,False,0,3000,11774,Pre-Owned
Vera Bradley Large duffel bag Blue Bayou NWT,False,,3999,1810,Brand New
Authentic LOUIS VUITTON Sirius 50 Monogram Suitcase Travel Business Bag #47454,True,,47610,0,Pre-Owned
London Fog Newcastle Softside Large 28” Spinner Suitcase,False,,14900,3500,New (Other)
"30"" Dark Brown Leather Duffle Bag Sports Gym Bag weekend Travel AirCabin Luggage",True,,48168084,0,New (Other)
Leather Duffel Travel Holiday Luggage Large Compartment Weekend Overnight Bag,True,,5786,0,New (Other)
Men's A Vinatge Leather Large Duffel Travel Gym Weekend Overnight Luggage Bag,True,,50747654,0,Brand New
Large Capacity Workout/Travel Round Duffel Bag Foldable&LightweightA,False,,1000,0,Brand New
Handle Large Garment Bag Suit Cover Dress Storage Foldable Carrier Travel Bag,False,,7891447,0,Brand New
POLO SPORT RALPH LAUREN Black Large Travel Luggage Suitcase Duffel Rollie Wheel,False,,17999,1795,Pre-Owned
3pcs Suitcase Spinner Softshell Lightweight Expandable Suitcase Large Capacity,False,,1099911299,0,Brand New
"Mandarina Duck Spinner Extra large suitcase Cruise Upright NEW 36"" tall Expands",False,,10000,,New (Other)
VICTORIA'S SECRET PINK-LARGE BLACK Colorful LOVE GRAFFITI  ROLLING SUITCASE,False,0,8800,5875,Pre-Owned
"Wrangler Wesley Rolling Duffel Bag, Charcoal Grey, Large 30-Inch",True,,5155,0,Brand New
Large Antique 1930s J E Fournier Alligator Leather Suitcase Montreal Canada,True,,34995,0,Pre-Owned
